company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,2011,?,?,?,Unknown
ABB,2011,?,?,?,Unknown
ABB,2012,+,-,-,Reinvestor
ABB,2012,+,-,-,Reinvestor
ABB,2013,?,?,?,Unknown
ABB,2013,?,?,?,Unknown
ABB,2013,?,?,?,Unknown
ABB,2013,?,?,?,Unknown
ABB,2013,?,?,?,Unknown
ABB,2014,+,-,-,Reinvestor
ABB,2014,+,-,-,Reinvestor
ABB,2014,+,-,-,Reinvestor
ABB,2014,+,-,-,Reinvestor
ABB,2014,+,-,-,Reinvestor
ABB,2014,+,-,-,Reinvestor
ABB,2015,+,-,-,Reinvestor
ABB,2015,+,-,-,Reinvestor
ABB,2015,+,-,-,Reinvestor
ABB,2015,+,-,-,Reinvestor
ABB,2015,+,-,-,Reinvestor
ABB,2015,+,-,-,Reinvestor
ABB,2016,+,-,-,Reinvestor
ABB,2016,+,-,-,Reinvestor
ABB,2016,+,-,-,Reinvestor
ABB,2016,+,-,-,Reinvestor
ABB,2016,+,-,-,Reinvestor
ABB,2016,+,-,-,Reinvestor
ABB,2017,+,-,-,Shareholder Returns
ABB,2017,+,-,-,Shareholder Returns
ABB,2017,+,-,-,Shareholder Returns
ABB,2017,+,-,-,Shareholder Returns
ABB,2017,+,-,-,Shareholder Returns
ABB,2018,+,-,-,Reinvestor
ABB,2018,+,-,-,Reinvestor
ABB,2018,+,-,-,Reinvestor
ABB,2018,+,-,-,Reinvestor
ABB,2018,+,-,-,Reinvestor
ABB,2019,+,-,-,Shareholder Returns
ABB,2019,+,-,-,Shareholder Returns
ABB,2019,+,-,-,Shareholder Returns
ABB,2019,+,-,-,Shareholder Returns
ABB,2019,+,-,-,Shareholder Returns
ABB,2020,+,-,-,Shareholder Returns
ABB,2020,+,-,-,Shareholder Returns
ABB,2020,+,-,-,Shareholder Returns
ABB,2020,+,-,-,Shareholder Returns
ABB,2020,+,-,-,Shareholder Returns
ABB,2021,+,-,-,Shareholder Returns
ABB,2021,+,-,-,Shareholder Returns
ABB,2021,+,-,-,Shareholder Returns
ABB,2021,+,-,-,Shareholder Returns
ABB,2021,+,-,-,Shareholder Returns
ABB,2022,+,-,-,Shareholder Returns
ABB,2022,+,-,-,Shareholder Returns
ABB,2022,+,-,-,Shareholder Returns
ABB,2022,+,-,-,Shareholder Returns
ABB,2022,+,-,-,Shareholder Returns
ABB,2023,+,-,-,Reinvestor
ABB,2023,+,-,-,Reinvestor
ABB,2023,+,-,-,Reinvestor
ABB,2023,+,-,-,Reinvestor
ABB,2023,+,-,-,Reinvestor
ABB,2023,+,-,-,Reinvestor
ABB,2024,+,-,-,Shareholder Returns
ABB,2024,+,-,-,Shareholder Returns
ABB,2024,+,-,-,Shareholder Returns
ABB,2024,+,-,-,Shareholder Returns
ABB,2024,+,-,-,Shareholder Returns
ABB,nan,?,?,?,Unknown
ADANIENSOL,2011,?,?,?,Unknown
ADANIENSOL,2011,?,?,?,Unknown
ADANIENSOL,2012,?,?,?,Unknown
ADANIENSOL,2012,?,?,?,Unknown
ADANIENSOL,2013,?,?,?,Unknown
ADANIENSOL,2013,?,?,?,Unknown
ADANIENSOL,2013,?,?,?,Unknown
ADANIENSOL,2013,?,?,?,Unknown
ADANIENSOL,2013,?,?,?,Unknown
ADANIENSOL,2014,+,+,+,Cash Accumulator
ADANIENSOL,2014,+,+,+,Cash Accumulator
ADANIENSOL,2014,+,+,+,Cash Accumulator
ADANIENSOL,2014,+,+,+,Cash Accumulator
ADANIENSOL,2014,+,+,+,Cash Accumulator
ADANIENSOL,2014,+,+,+,Cash Accumulator
ADANIENSOL,2015,-,-,+,Growth Funded by Debt
ADANIENSOL,2015,-,-,+,Growth Funded by Debt
ADANIENSOL,2015,-,-,+,Growth Funded by Debt
ADANIENSOL,2015,-,-,+,Growth Funded by Debt
ADANIENSOL,2015,-,-,+,Growth Funded by Debt
ADANIENSOL,2015,-,-,+,Growth Funded by Debt
ADANIENSOL,2016,+,-,-,Shareholder Returns
ADANIENSOL,2016,+,-,-,Shareholder Returns
ADANIENSOL,2016,+,-,-,Shareholder Returns
ADANIENSOL,2016,+,-,-,Shareholder Returns
ADANIENSOL,2016,+,-,-,Shareholder Returns
ADANIENSOL,2016,+,-,-,Shareholder Returns
ADANIENSOL,2017,+,-,-,Shareholder Returns
ADANIENSOL,2017,+,-,-,Shareholder Returns
ADANIENSOL,2017,+,-,-,Shareholder Returns
ADANIENSOL,2017,+,-,-,Shareholder Returns
ADANIENSOL,2017,+,-,-,Shareholder Returns
ADANIENSOL,2018,+,-,+,Mixed
ADANIENSOL,2018,+,-,+,Mixed
ADANIENSOL,2018,+,-,+,Mixed
ADANIENSOL,2018,+,-,+,Mixed
ADANIENSOL,2018,+,-,+,Mixed
ADANIENSOL,2019,+,-,+,Mixed
ADANIENSOL,2019,+,-,+,Mixed
ADANIENSOL,2019,+,-,+,Mixed
ADANIENSOL,2019,+,-,+,Mixed
ADANIENSOL,2019,+,-,+,Mixed
ADANIENSOL,2020,+,-,+,Mixed
ADANIENSOL,2020,+,-,+,Mixed
ADANIENSOL,2020,+,-,+,Mixed
ADANIENSOL,2020,+,-,+,Mixed
ADANIENSOL,2020,+,-,+,Mixed
ADANIENSOL,2021,+,-,-,Shareholder Returns
ADANIENSOL,2021,+,-,-,Shareholder Returns
ADANIENSOL,2021,+,-,-,Shareholder Returns
ADANIENSOL,2021,+,-,-,Shareholder Returns
ADANIENSOL,2021,+,-,-,Shareholder Returns
ADANIENSOL,2022,+,-,-,Shareholder Returns
ADANIENSOL,2022,+,-,-,Shareholder Returns
ADANIENSOL,2022,+,-,-,Shareholder Returns
ADANIENSOL,2022,+,-,-,Shareholder Returns
