company_id,year_from,year_to,pattern_from,pattern_to,change_summary
ABB,2011,2012,Unknown,Reinvestor,ABB: Unknown -> Reinvestor (2011 to 2012)
ABB,2012,2013,Reinvestor,Unknown,ABB: Reinvestor -> Unknown (2012 to 2013)
ABB,2013,2014,Unknown,Reinvestor,ABB: Unknown -> Reinvestor (2013 to 2014)
ABB,2016,2017,Reinvestor,Shareholder Returns,ABB: Reinvestor -> Shareholder Returns (2016 to 2017)
ABB,2017,2018,Shareholder Returns,Reinvestor,ABB: Shareholder Returns -> Reinvestor (2017 to 2018)
ABB,2018,2019,Reinvestor,Shareholder Returns,ABB: Reinvestor -> Shareholder Returns (2018 to 2019)
ABB,2022,2023,Shareholder Returns,Reinvestor,ABB: Shareholder Returns -> Reinvestor (2022 to 2023)
ABB,2023,2024,Reinvestor,Shareholder Returns,ABB: Reinvestor -> Shareholder Returns (2023 to 2024)
ABB,2024,nan,Shareholder Returns,Unknown,ABB: Shareholder Returns -> Unknown (2024 to nan)
ADANIENSOL,2013,2014,Unknown,Cash Accumulator,ADANIENSOL: Unknown -> Cash Accumulator (2013 to 2014)
ADANIENSOL,2014,2015,Cash Accumulator,Growth Funded by Debt,ADANIENSOL: Cash Accumulator -> Growth Funded by Debt (2014 to 2015)
ADANIENSOL,2015,2016,Growth Funded by Debt,Shareholder Returns,ADANIENSOL: Growth Funded by Debt -> Shareholder Returns (2015 to 2016)
ADANIENSOL,2017,2018,Shareholder Returns,Mixed,ADANIENSOL: Shareholder Returns -> Mixed (2017 to 2018)
ADANIENSOL,2020,2021,Mixed,Shareholder Returns,ADANIENSOL: Mixed -> Shareholder Returns (2020 to 2021)
ADANIENSOL,2022,2023,Shareholder Returns,Mixed,ADANIENSOL: Shareholder Returns -> Mixed (2022 to 2023)
ADANIENSOL,2023,2024,Mixed,Shareholder Returns,ADANIENSOL: Mixed -> Shareholder Returns (2023 to 2024)
ADANIENSOL,2024,nan,Shareholder Returns,Unknown,ADANIENSOL: Shareholder Returns -> Unknown (2024 to nan)
ADANIENT,2012,2013,Unknown,Mixed,ADANIENT: Unknown -> Mixed (2012 to 2013)
ADANIENT,2013,2014,Mixed,Shareholder Returns,ADANIENT: Mixed -> Shareholder Returns (2013 to 2014)
ADANIENT,2014,2015,Shareholder Returns,Mixed,ADANIENT: Shareholder Returns -> Mixed (2014 to 2015)
ADANIENT,2015,2016,Mixed,Shareholder Returns,ADANIENT: Mixed -> Shareholder Returns (2015 to 2016)
